chrome.slow.parallel-allmapped-esms-10,chrome.slow.parallel-allmapped-esms-20,chrome.slow.parallel-allmapped-esms-30,chrome.slow.parallel-allmapped-esms-40,chrome.slow.parallel-allmapped-esms-50,chrome.slow.parallel-allmapped-esms-60,chrome.slow.parallel-allmapped-esms-70,chrome.slow.parallel-allmapped-esms-80,chrome.slow.parallel-allmapped-esms-90,chrome.slow.parallel-allmapped-esms-100
203.20000004768372,212.20000004768372,219,225.80000019073486,247.79999995231628,243.10000014305115,281.2000000476837,279.7000000476837,314.5,332.59999990463257
200.59999990463257,208.19999980926514,215.79999995231628,239.79999995231628,228.40000009536743,252.20000004768372,280.5,306.2000000476837,311.40000009536743,337
201.70000004768372,207.79999995231628,218.40000009536743,225.29999995231628,230.70000004768372,261.59999990463257,282.69999980926514,294.2000000476837,313.5,338.10000014305115
198.59999990463257,214.20000004768372,216.70000004768372,222.59999990463257,244.30000019073486,240.30000019073486,279.2999999523163,292.10000014305115,310.09999990463257,327.5
203.80000019073486,209.5,213.90000009536743,227,231.69999980926514,246.09999990463257,284.2999999523163,305.69999980926514,310.09999990463257,318.2000000476837
199.59999990463257,206.90000009536743,215.80000019073486,240,231,247.79999995231628,274,292,317,332
200.59999990463257,210.09999990463257,221.40000009536743,228.39999985694885,248.39999985694885,249,273.7999999523163,290.7000000476837,319,331.39999985694885
203.09999990463257,212.20000004768372,216.89999985694885,224.69999980926514,234.40000009536743,253.79999995231628,289,276.90000009536743,313.09999990463257,332.5
200.29999995231628,209.59999990463257,217.09999990463257,228,244.5,259.2000000476837,258.90000009536743,293.39999985694885,315.89999985694885,335.5
201.70000004768372,209.20000004768372,213.19999980926514,224.29999995231628,231.5,245.69999980926514,259.7000000476837,277.80000019073486,310.40000009536743,334.7999999523163
196.79999995231628,207,215.40000009536743,222.89999985694885,232.60000014305115,262.40000009536743,269.90000009536743,280.60000014305115,299.30000019073486,324.7000000476837
196.79999995231628,212.69999980926514,223.39999985694885,225.09999990463257,228.5,245.40000009536743,270.5,292,300.2000000476837,319.7999999523163
201,211.79999995231628,216.59999990463257,228.79999995231628,233,248.29999995231628,266.40000009536743,290.09999990463257,314.5,344.39999985694885
202.79999995231628,214.10000014305115,219.70000004768372,226.20000004768372,233.09999990463257,254.29999995231628,273.90000009536743,292.19999980926514,319.2999999523163,319.2000000476837
196,210,212.90000009536743,230.5,236.20000004768372,255.19999980926514,270.89999985694885,295.5,301,331.89999985694885
199.29999995231628,208.5,216.89999985694885,225.5,227.5,241.60000014305115,269.09999990463257,279.7999999523163,300,338.2000000476837
202.29999995231628,209.29999995231628,216,226.69999980926514,231.59999990463257,250.79999995231628,276.10000014305115,280.09999990463257,321.2999999523163,336.89999985694885
198,206.40000009536743,219.70000004768372,209.90000009536743,227.20000004768372,255.90000009536743,279.5,280.2999999523163,296.59999990463257,333
205.20000004768372,210,215.29999995231628,226.40000009536743,235.19999980926514,252,284.90000009536743,292.2999999523163,308.80000019073486,334.2999999523163
202.60000014305115,213.5,218.20000004768372,224.70000004768372,248.40000009536743,257.39999985694885,291.60000014305115,279.2000000476837,311.7999999523163,344.80000019073486
