chrome.slow.parallel-10,chrome.slow.parallel-20,chrome.slow.parallel-30,chrome.slow.parallel-40,chrome.slow.parallel-50,chrome.slow.parallel-60,chrome.slow.parallel-70,chrome.slow.parallel-80,chrome.slow.parallel-90,chrome.slow.parallel-100
150.79999995231628,192.60000014305115,260.39999985694885,296.7000000476837,357.19999980926514,414.5,463.59999990463257,525.2999999523163,581.5,631.9000000953674
148.40000009536743,196.69999980926514,246.10000014305115,310.80000019073486,360.10000014305115,411.90000009536743,474,526.1000001430511,577.7000000476837,632.5999999046326
148.70000004768372,199.60000014305115,249.79999995231628,300.59999990463257,349.19999980926514,410.7000000476837,463.80000019073486,517.2000000476837,589.8999998569489,641.7999999523163
143.09999990463257,196.29999995231628,250.59999990463257,296.7000000476837,349.90000009536743,413.40000009536743,474.89999985694885,527.7999999523163,582,641
149.59999990463257,197.10000014305115,249.40000009536743,297.89999985694885,348.7000000476837,412.40000009536743,463.39999985694885,526.5,578.4000000953674,626.7999999523163
148.29999995231628,195.79999995231628,250.30000019073486,299.2000000476837,350,412.19999980926514,473,527.2999999523163,588,631.2999999523163
148.20000004768372,199,249.59999990463257,299.39999985694885,349.2999999523163,411.5,474.39999985694885,527.4000000953674,588.7000000476837,631.7000000476837
147.29999995231628,197.89999985694885,248,300.40000009536743,361.69999980926514,410.59999990463257,475.7999999523163,529,581.0999999046326,634.2000000476837
149.79999995231628,198.5,247.29999995231628,300.69999980926514,350.30000019073486,414.69999980926514,476.39999985694885,529.1999998092651,580.2000000476837,632.6999998092651
150.20000004768372,196.60000014305115,247.10000014305115,306.2000000476837,350.10000014305115,412.90000009536743,463.2000000476837,526.0999999046326,577.5999999046326,642.7000000476837
149,197.79999995231628,261,300.7999999523163,350.2999999523163,414.2000000476837,463.89999985694885,528,580.7999999523163,632.5
144,189.5,247.79999995231628,298.90000009536743,359,415.40000009536743,465.5,527.5,577.0999999046326,642.5
148.5,198.19999980926514,250.39999985694885,298.39999985694885,359,421,465.59999990463257,526.8000001907349,591.0999999046326,643.0999999046326
152.20000004768372,198.40000009536743,256.40000009536743,297.90000009536743,357.90000009536743,413.7999999523163,474.30000019073486,527.7000000476837,591.5,644.2999999523163
150.5,197.29999995231628,246.5,298.7000000476837,359.7000000476837,413.5,463.40000009536743,527.2999999523163,578.3999998569489,632.1000001430511
148.39999985694885,197.29999995231628,248.60000014305115,302.59999990463257,350.5,411.5,474.7000000476837,525.7999999523163,579.3000001907349,640.7999999523163
150.70000004768372,196.10000014305115,248.90000009536743,306.2000000476837,360.5,412.7999999523163,474.59999990463257,528.1000001430511,581.2000000476837,631
147,196.59999990463257,246.60000014305115,301,357.10000014305115,410.90000009536743,474.2000000476837,526.6999998092651,590.8000001907349,635.9000000953674
149.79999995231628,198.20000004768372,248.70000004768372,297.89999985694885,349.7000000476837,413.10000014305115,465.39999985694885,528.2000000476837,592.2000000476837,640.7999999523163
145.70000004768372,198.29999995231628,249.89999985694885,299.40000009536743,359.40000009536743,413.7000000476837,472.30000019073486,526.9000000953674,587.2000000476837,632.2999999523163
