firefox.fastest.parallel-allmapped-esms-10,firefox.fastest.parallel-allmapped-esms-20,firefox.fastest.parallel-allmapped-esms-30,firefox.fastest.parallel-allmapped-esms-40,firefox.fastest.parallel-allmapped-esms-50,firefox.fastest.parallel-allmapped-esms-60,firefox.fastest.parallel-allmapped-esms-70,firefox.fastest.parallel-allmapped-esms-80,firefox.fastest.parallel-allmapped-esms-90,firefox.fastest.parallel-allmapped-esms-100
141,171,138,165,205,222,255,266,312,328
129,200,219,236,252,287,255,284,294,319
129,191,206,224,250,288,265,291,298,321
127,221,168,200,276,244,242,274,303,337
126,207,210,232,255,279,303,272,301,335
119,196,217,233,261,266,286,315,330,389
141,145,168,194,254,267,270,268,292,323
134,215,177,184,270,238,258,276,302,332
129,208,215,232,334,286,295,302,322,398
147,151,163,258,196,228,268,313,294,312
157,238,206,236,246,267,321,289,323,338
125,167,179,183,250,231,259,266,311,330
133,213,207,228,249,274,307,306,339,345
138,143,186,173,215,237,262,280,303,326
133,197,215,234,248,273,283,317,348,359
166,189,214,217,256,276,257,271,294,329
120,230,169,190,275,239,250,276,310,314
130,215,168,187,277,248,275,311,337,323
137,217,181,185,274,238,260,282,301,332
137,204,232,246,247,266,309,316,332,357
