firefox.fastest.parallel-mapped-esms-10,firefox.fastest.parallel-mapped-esms-20,firefox.fastest.parallel-mapped-esms-30,firefox.fastest.parallel-mapped-esms-40,firefox.fastest.parallel-mapped-esms-50,firefox.fastest.parallel-mapped-esms-60,firefox.fastest.parallel-mapped-esms-70,firefox.fastest.parallel-mapped-esms-80,firefox.fastest.parallel-mapped-esms-90,firefox.fastest.parallel-mapped-esms-100
144,163,185,206,233,220,250,313,279,314
135,187,206,209,220,274,244,277,300,312
138,194,211,187,252,264,256,282,302,312
128,144,210,224,212,268,253,303,275,325
135,190,209,231,253,218,259,283,281,314
142,188,212,228,250,236,273,286,355,314
128,199,210,227,245,270,241,267,316,304
119,195,206,237,254,229,270,317,334,315
134,195,217,227,253,213,242,278,286,366
125,191,215,231,207,253,291,281,328,333
143,217,160,183,215,282,235,283,300,312
121,140,167,202,260,274,289,277,321,388
119,199,210,177,207,252,244,263,312,319
130,193,208,189,195,237,309,258,300,334
124,193,215,181,214,239,247,262,300,338
129,189,205,183,219,225,306,262,341,339
142,194,214,222,246,274,258,292,301,301
132,196,165,181,258,271,261,270,302,329
133,192,208,236,207,248,248,260,290,317
120,188,216,245,257,272,236,265,311,333
