firefox.fastest.parallel-10,firefox.fastest.parallel-20,firefox.fastest.parallel-30,firefox.fastest.parallel-40,firefox.fastest.parallel-50,firefox.fastest.parallel-60,firefox.fastest.parallel-70,firefox.fastest.parallel-80,firefox.fastest.parallel-90,firefox.fastest.parallel-100
88,107,118,138,149,167,195,195,208,234
89,100,120,129,150,167,195,218,222,236
93,105,120,144,153,169,183,212,212,224
93,123,125,140,154,170,189,198,217,226
89,105,118,133,148,166,181,206,227,236
86,105,127,133,150,175,185,201,213,235
88,106,117,150,168,173,191,198,218,231
91,103,120,134,151,207,179,150,179,206
48,107,87,105,126,135,154,161,185,199
46,106,119,139,157,171,183,206,214,226
85,103,124,134,156,165,146,174,186,198
52,113,78,153,114,142,152,163,193,194
64,105,93,144,156,169,190,198,208,223
101,124,122,141,150,168,179,205,233,248
114,111,133,138,151,134,147,161,186,191
52,113,84,107,118,132,145,173,217,197
48,114,86,101,131,128,143,164,188,209
50,108,86,144,112,137,151,164,187,195
51,110,124,144,155,123,151,165,185,237
90,102,118,137,145,168,182,195,227,230
