firefox.slow.parallel-allmapped-esms-10,firefox.slow.parallel-allmapped-esms-20,firefox.slow.parallel-allmapped-esms-30,firefox.slow.parallel-allmapped-esms-40,firefox.slow.parallel-allmapped-esms-50,firefox.slow.parallel-allmapped-esms-60,firefox.slow.parallel-allmapped-esms-70,firefox.slow.parallel-allmapped-esms-80,firefox.slow.parallel-allmapped-esms-90,firefox.slow.parallel-allmapped-esms-100
305,349,468,467,515,566,622,675,746,787
302,358,472,462,529,559,619,685,722,793
301,361,458,476,539,578,621,671,737,791
317,351,460,473,526,554,621,677,751,807
316,365,472,465,534,570,643,676,736,807
309,350,472,476,522,567,619,678,734,791
301,368,481,469,527,573,635,674,737,787
303,339,468,468,528,570,632,675,730,789
297,354,467,463,525,575,628,678,737,797
308,355,471,476,533,579,667,678,737,804
291,351,468,475,527,578,622,686,737,786
301,357,477,476,521,571,629,684,734,801
315,351,471,468,535,584,625,675,736,790
316,351,471,466,519,562,621,675,743,799
291,360,471,466,535,564,617,691,756,801
305,370,477,463,530,572,627,676,734,788
300,351,482,453,534,575,630,675,736,805
303,357,468,463,528,568,639,679,737,796
308,358,469,461,524,554,622,688,734,809
302,344,471,468,527,577,619,690,731,821
