firefox.slow.parallel-mapped-esms-10,firefox.slow.parallel-mapped-esms-20,firefox.slow.parallel-mapped-esms-30,firefox.slow.parallel-mapped-esms-40,firefox.slow.parallel-mapped-esms-50,firefox.slow.parallel-mapped-esms-60,firefox.slow.parallel-mapped-esms-70,firefox.slow.parallel-mapped-esms-80,firefox.slow.parallel-mapped-esms-90,firefox.slow.parallel-mapped-esms-100
287,296,368,376,329,353,376,392,401,421
263,395,370,367,320,343,410,364,432,403
277,333,345,375,390,409,407,378,412,472
275,349,345,348,367,344,348,411,406,439
278,343,356,362,326,351,395,370,383,470
392,344,376,344,387,392,347,366,394,411
277,344,348,362,339,341,403,378,450,420
278,314,353,333,379,370,409,373,396,451
284,343,322,356,398,346,345,378,399,426
285,350,342,360,362,410,438,401,469,483
301,309,345,372,385,336,398,384,390,404
284,330,369,386,364,405,433,434,399,434
281,331,377,365,389,403,356,378,426,420
299,348,355,376,361,354,362,362,407,435
295,338,346,360,394,345,366,374,386,428
280,298,373,373,364,341,391,370,438,419
265,365,345,359,378,376,429,381,415,470
272,338,340,372,391,335,368,383,388,415
299,312,360,384,390,345,353,385,399,415
268,341,345,386,397,354,379,385,398,420
