firefox.slow.parallel-10,firefox.slow.parallel-20,firefox.slow.parallel-30,firefox.slow.parallel-40,firefox.slow.parallel-50,firefox.slow.parallel-60,firefox.slow.parallel-70,firefox.slow.parallel-80,firefox.slow.parallel-90,firefox.slow.parallel-100
175,195,216,214,213,225,258,251,255,270
184,203,205,212,222,234,220,238,245,264
177,204,197,209,226,256,248,243,261,296
182,198,208,200,220,225,244,247,255,258
173,203,211,214,225,230,242,244,250,254
174,198,205,207,213,221,226,239,243,266
167,198,207,215,233,233,238,239,264,260
187,201,203,208,226,229,235,242,257,267
191,198,211,212,223,227,235,245,255,271
178,201,208,214,225,232,235,246,257,261
182,190,207,201,226,229,236,241,263,280
174,200,206,156,194,164,185,205,228,216
140,142,146,155,172,196,206,193,191,493
128,153,160,164,172,181,180,193,494,218
135,139,147,212,160,177,175,213,224,220
132,161,158,171,166,180,187,185,210,215
139,154,162,166,182,178,193,194,205,213
410,139,143,166,157,179,165,206,209,278
139,138,434,149,158,450,225,199,193,202
130,153,155,153,181,457,183,178,209,215
